filter_variant,model_role,evaluation_checkpoint,months,mean_score_nlpd,mean_quadrant_cross_entropy,mean_quadrant_brier,mean_quadrant_kl,hard_quadrant_accuracy,growth_rmse,inflation_rmse,median_score_nlpd,burn_in_months
claims_none,sensitivity,before_any_defining_release,183,26.920304238287827,1.5368142861843348,0.1504447500980673,0.47270767944808645,0.36065573770491804,4.29465504371392,0.738325909548315,1.8200796566973387,4
partial_only,major_benchmark,before_any_defining_release,183,26.920861781266428,1.5369529462817848,0.150516854018533,0.47284633954553645,0.36065573770491804,4.294662018190844,0.7384759620797916,1.8200796566973387,4
transition_only,major_benchmark,before_any_defining_release,183,26.921564943923837,1.5352751723987836,0.14960599995954502,0.4711685656625354,0.36065573770491804,4.2942263845073,0.738680411033734,1.8200796566973392,4
consumer_real_implicit_joint_only,sensitivity,strict_pre_final_score_day,183,5.64923948540973,1.2982357416368593,0.033053171987741096,0.23412913490061085,0.7377049180327869,1.4181953884091074,0.4542904205667315,-0.7330247019561356,4
claims_independent,sensitivity,strict_pre_final_score_day,183,5.671615440094988,1.3017828082297744,0.034124161389371604,0.23767620149352614,0.7431693989071039,1.3962855983711446,0.4837357990310107,-0.6690314879904886,4
claims_conditional_joint,sensitivity,strict_pre_final_score_day,183,5.681449736282723,1.3018091958037257,0.034146931306244764,0.23770258906747732,0.7431693989071039,1.406063847976519,0.4833784078960818,-0.6690314879904886,4
consumer_real_only,sensitivity,strict_pre_final_score_day,183,5.688645674143976,1.3017586284614024,0.03451465668618952,0.23765202172515384,0.7377049180327869,1.4197340735392527,0.47798476770127835,-0.7315081872492866,4
business_revised_joint,sensitivity,strict_pre_final_score_day,183,5.698062344080409,1.301946035552177,0.03430244420119269,0.23783942881592865,0.7377049180327869,1.4143939982286278,0.4831832803350709,-0.6690314879904886,4
business_legacy,sensitivity,strict_pre_final_score_day,183,5.698806593872841,1.3019750386981601,0.03430143117692813,0.23786843196191174,0.7431693989071039,1.414716496788546,0.4832263895720513,-0.6690314879904886,4
claims_icsa_only,sensitivity,strict_pre_final_score_day,183,5.698806593872841,1.3019750386981601,0.03430143117692813,0.23786843196191174,0.7431693989071039,1.414716496788546,0.4832263895720513,-0.6690314879904886,4
consumer_legacy,sensitivity,strict_pre_final_score_day,183,5.698806593872841,1.3019750386981601,0.03430143117692813,0.23786843196191174,0.7431693989071039,1.414716496788546,0.4832263895720513,-0.6690314879904886,4
price_import,sensitivity,strict_pre_final_score_day,183,5.698806593872841,1.3019750386981601,0.03430143117692813,0.23786843196191174,0.7431693989071039,1.414716496788546,0.4832263895720513,-0.6690314879904886,4
business_activity_only,sensitivity,strict_pre_final_score_day,183,5.700121746421928,1.3019433887697693,0.034248544218189875,0.23783678203352088,0.7431693989071039,1.4152617431856964,0.4830923421218095,-0.6690314879904886,4
claims_ccsa_conditional_only,sensitivity,strict_pre_final_score_day,183,5.702763154982986,1.3017226391592465,0.03404990057204867,0.2376160324229982,0.7431693989071039,1.4359421403196329,0.4819370390541187,-0.6690314879904886,4
business_none,sensitivity,strict_pre_final_score_day,183,5.7111125417430015,1.301162129563185,0.033875538315395984,0.23705552282693676,0.7540983606557377,1.4194622537703905,0.48191755811902415,-0.6690314879904886,4
consumer_implicit_only,sensitivity,strict_pre_final_score_day,183,5.717972264944705,1.2973579649637546,0.03236229657257596,0.2332513582275063,0.7595628415300546,1.415862351270384,0.45129756399542864,-0.5918504682832515,4
claims_none,sensitivity,strict_pre_final_score_day,183,5.7206815272381,1.3018783575597879,0.03419737597116299,0.23777175082353955,0.7540983606557377,1.4451143844406025,0.4817185887493019,-0.6690314879904886,4
student_t_7_combined,baseline,strict_pre_final_score_day,183,5.721140588346696,1.3022401127827408,0.03402295808163001,0.23813350604649253,0.7595628415300546,1.4109220119805614,0.4947032538333657,-0.6690184784530571,4
business_pipeline_only,sensitivity,strict_pre_final_score_day,183,5.722207508347617,1.3011268260364335,0.033857444606549526,0.23702021930018516,0.7540983606557377,1.4194205481835784,0.48192597616274335,-0.6690314879904886,4
structural_reduced_no_price,sensitivity,strict_pre_final_score_day,183,5.72574366226843,1.3019345826325206,0.033914549331215044,0.23782797589627222,0.7431693989071039,1.4150382150199667,0.4935631400462526,-0.6690184784530571,4
structural_reduced_input,sensitivity,strict_pre_final_score_day,183,5.72729878560652,1.3021759305210865,0.03404364535694217,0.23806932378483828,0.7540983606557377,1.4156220747317656,0.4936078678842092,-0.6690184784530571,4
consumer_none,sensitivity,strict_pre_final_score_day,183,5.768606707864243,1.3011187480713562,0.033951784224306315,0.23701214133510784,0.7540983606557377,1.4104528241138181,0.48005931532226154,-0.6412410086482341,4
partial_only,major_benchmark,strict_pre_final_score_day,183,5.835589683205558,1.3003350492954844,0.03311380484690474,0.2362284425592359,0.825136612021858,1.4474340937016814,0.48683712721996164,-0.648447436324195,4
all_revised_candidate,sensitivity,strict_pre_final_score_day,183,8.710712327132756,1.2990844738319078,0.03346411536942164,0.2349778670956596,0.7213114754098361,1.557142372654471,0.454946890213175,-0.7330247019561356,4
consumer_revised_full,sensitivity,strict_pre_final_score_day,183,8.737354780363308,1.2992190213419403,0.033589927026242,0.23511241460569204,0.7431693989071039,1.5653859397355285,0.4546835765429169,-0.7330247019561356,4
consumer_without_implicit,sensitivity,strict_pre_final_score_day,183,8.778240120290455,1.3028810087718457,0.035148899829387355,0.23877440203559722,0.73224043715847,1.5670638907311878,0.47845397500524656,-0.7315081872492866,4
consumer_without_real,sensitivity,strict_pre_final_score_day,183,8.79591042061293,1.2970168094543346,0.03210494186711005,0.23291020271808627,0.7704918032786885,1.559698783353235,0.45130802540806936,-0.5918504682832515,4
consumer_vehicle_only,sensitivity,strict_pre_final_score_day,183,8.848892130695521,1.3008143610873013,0.03376041410996128,0.23670775435105298,0.7540983606557377,1.554841405725012,0.48026115574692435,-0.6391265528410088,4
transition_only,major_benchmark,strict_pre_final_score_day,183,26.91905050798631,1.5365413241079706,0.15028277316786048,0.47243471737172216,0.34972677595628415,4.2947175013760885,0.7379022364967949,1.8200796566973392,4
