evaluation_sample,comparison_id,candidate_id,reference_id,block_id,experiment_arm,primary_atomic,evaluation_checkpoint,metric,better_direction,paired_months,mean_candidate_minus_reference,median_candidate_minus_reference,bootstrap_lower,bootstrap_upper,bootstrap_probability_candidate_better,mean_block_benefit,block_benefit_lower,block_benefit_upper,bootstrap_probability_block_beneficial,centered_two_sided_p_value,block_length_months,calendar_segments,replications,random_seed,holm_adjusted_p_value_replacement_candidates
excluding_2020_03_through_2020_05,priority_03_consumer__vs__leave_one_out_consumer_demand,priority_03_consumer,leave_one_out_consumer_demand,consumer_demand,replacement_against_reduced_core,False,strict_pre_final_score_day,score_center_negative_log_predictive_density,lower,180,-0.03041169065152071,0.0,-0.0650991475893119,-0.006425333199644024,1.0,0.03041169065152071,0.006425333199644024,0.06509914758931189,1.0,0.04079184163167367,12,2,5000,20260722,0.122375524895021
excluding_2020_03_through_2020_05,priority_04_housing__vs__leave_one_out_housing_activity,priority_04_housing,leave_one_out_housing_activity,housing_activity,replacement_against_reduced_core,False,strict_pre_final_score_day,score_center_negative_log_predictive_density,lower,180,0.0016925772005864253,0.0,-0.006870385790414864,0.013448297103708325,0.409,-0.0016925772005864253,-0.01344829710370833,0.0068703857904148635,0.409,0.754249150169966,12,2,5000,20260722,0.754249150169966
excluding_2020_03_through_2020_05,priority_06_backlog__vs__leave_one_out_business_investment,priority_06_backlog,leave_one_out_business_investment,business_investment,replacement_against_reduced_core,False,strict_pre_final_score_day,score_center_negative_log_predictive_density,lower,180,0.002701013692396043,0.0,-0.0017409192501822086,0.007837658211532374,0.1426,-0.002701013692396043,-0.007837658211532376,0.0017409192501822047,0.1426,0.27794441111777646,12,2,5000,20260722,0.5558888222355529
full_sample,priority_03_consumer__vs__leave_one_out_consumer_demand,priority_03_consumer,leave_one_out_consumer_demand,consumer_demand,replacement_against_reduced_core,False,after_employment_situation,hard_quadrant_correct,higher,183,-0.01092896174863388,0.0,-0.04371584699453552,0.02185792349726776,0.2074,-0.01092896174863388,-0.04371584699453552,0.02185792349726776,0.2074,0.520495900819836,12,1,5000,20260722,1.0
full_sample,priority_04_housing__vs__leave_one_out_housing_activity,priority_04_housing,leave_one_out_housing_activity,housing_activity,replacement_against_reduced_core,False,after_employment_situation,hard_quadrant_correct,higher,183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12,1,5000,20260722,1.0
full_sample,priority_06_backlog__vs__leave_one_out_business_investment,priority_06_backlog,leave_one_out_business_investment,business_investment,replacement_against_reduced_core,False,after_employment_situation,hard_quadrant_correct,higher,183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12,1,5000,20260722,1.0
full_sample,priority_03_consumer__vs__leave_one_out_consumer_demand,priority_03_consumer,leave_one_out_consumer_demand,consumer_demand,replacement_against_reduced_core,False,after_employment_situation,quadrant_brier_distance_to_exact_score_map,lower,183,-0.0003029115058096367,0.0,-0.0013104244285720031,0.0006180918853405543,0.7194,0.0003029115058096367,-0.0006180918853405544,0.0013104244285720027,0.7194,0.5246950609878024,12,1,5000,20260722,0.5246950609878024
full_sample,priority_04_housing__vs__leave_one_out_housing_activity,priority_04_housing,leave_one_out_housing_activity,housing_activity,replacement_against_reduced_core,False,after_employment_situation,quadrant_brier_distance_to_exact_score_map,lower,183,-4.089524231800891e-07,0.0,-1.0285619817593528e-06,2.8770681021513533e-09,0.966,4.089524231800891e-07,-2.877068102151369e-09,1.0285619817593526e-06,0.966,0.10937812437512498,12,1,5000,20260722,0.32813437312537497
full_sample,priority_06_backlog__vs__leave_one_out_business_investment,priority_06_backlog,leave_one_out_business_investment,business_investment,replacement_against_reduced_core,False,after_employment_situation,quadrant_brier_distance_to_exact_score_map,lower,183,4.195251357832473e-06,0.0,-1.4018351919720257e-09,1.1576129257875905e-05,0.0674,-4.195251357832473e-06,-1.1576129257875905e-05,1.4018351919720253e-09,0.0674,0.17016596680663867,12,1,5000,20260722,0.34033193361327735
full_sample,priority_03_consumer__vs__leave_one_out_consumer_demand,priority_03_consumer,leave_one_out_consumer_demand,consumer_demand,replacement_against_reduced_core,False,after_employment_situation,quadrant_cross_entropy_to_exact_score_map,lower,183,-0.0006933441949680855,0.0,-0.002775495101206645,0.0009460134127030048,0.7572,0.0006933441949680855,-0.000946013412703005,0.0027754951012066444,0.7572,0.4553089382123575,12,1,5000,20260722,0.4553089382123575
