checkpoint_id,filter_variant,as_of_date,checkpoint_type,regime_0,regime_1,regime_2,regime_3,probability,sobol_samples,maximum_marginal_probability_error
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_up_inflation_down,growth_up_inflation_down,growth_down_inflation_up,0.00262451171875,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_up_inflation_down,growth_up_inflation_down,growth_up_inflation_down,0.00262451171875,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_up_inflation_down,growth_up_inflation_down,growth_down_inflation_down,0.002197265625,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_up_inflation_down,growth_down_inflation_down,growth_up_inflation_up,0.00225830078125,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_up_inflation_down,growth_down_inflation_down,growth_down_inflation_up,0.00384521484375,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_up_inflation_down,growth_down_inflation_down,growth_up_inflation_down,0.003173828125,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_up_inflation_down,growth_down_inflation_down,growth_down_inflation_down,0.00250244140625,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_down_inflation_down,growth_up_inflation_up,growth_up_inflation_up,0.00360107421875,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_down_inflation_down,growth_up_inflation_up,growth_down_inflation_up,0.00445556640625,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_down_inflation_down,growth_up_inflation_up,growth_up_inflation_down,0.00299072265625,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_down_inflation_down,growth_up_inflation_up,growth_down_inflation_down,0.0018310546875,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_down_inflation_down,growth_down_inflation_up,growth_up_inflation_up,0.00634765625,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_down_inflation_down,growth_down_inflation_up,growth_down_inflation_up,0.00830078125,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_down_inflation_down,growth_down_inflation_up,growth_up_inflation_down,0.00457763671875,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_down_inflation_down,growth_down_inflation_up,growth_down_inflation_down,0.0032958984375,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_down_inflation_down,growth_up_inflation_down,growth_up_inflation_up,0.001953125,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_down_inflation_down,growth_up_inflation_down,growth_down_inflation_up,0.00244140625,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_down_inflation_down,growth_up_inflation_down,growth_up_inflation_down,0.00225830078125,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_down_inflation_down,growth_up_inflation_down,growth_down_inflation_down,0.00177001953125,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_down_inflation_down,growth_down_inflation_down,growth_up_inflation_up,0.00177001953125,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_down_inflation_down,growth_down_inflation_down,growth_down_inflation_up,0.0032958984375,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_down_inflation_down,growth_down_inflation_down,growth_up_inflation_down,0.0032958984375,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_down_inflation_up,growth_down_inflation_down,growth_down_inflation_down,growth_down_inflation_down,0.00262451171875,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_down,growth_up_inflation_up,growth_up_inflation_up,growth_up_inflation_up,0.00177001953125,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_down,growth_up_inflation_up,growth_up_inflation_up,growth_down_inflation_up,0.002197265625,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_down,growth_up_inflation_up,growth_up_inflation_up,growth_up_inflation_down,0.0015869140625,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_down,growth_up_inflation_up,growth_up_inflation_up,growth_down_inflation_down,0.00091552734375,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_down,growth_up_inflation_up,growth_down_inflation_up,growth_up_inflation_up,0.0029296875,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_down,growth_up_inflation_up,growth_down_inflation_up,growth_down_inflation_up,0.00390625,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_down,growth_up_inflation_up,growth_down_inflation_up,growth_up_inflation_down,0.00238037109375,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_down,growth_up_inflation_up,growth_down_inflation_up,growth_down_inflation_down,0.00115966796875,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_down,growth_up_inflation_up,growth_up_inflation_down,growth_up_inflation_up,0.0006103515625,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_down,growth_up_inflation_up,growth_up_inflation_down,growth_down_inflation_up,0.001220703125,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_down,growth_up_inflation_up,growth_up_inflation_down,growth_up_inflation_down,0.00140380859375,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_down,growth_up_inflation_up,growth_up_inflation_down,growth_down_inflation_down,0.0008544921875,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_down,growth_up_inflation_up,growth_down_inflation_down,growth_up_inflation_up,0.00115966796875,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_down,growth_up_inflation_up,growth_down_inflation_down,growth_down_inflation_up,0.001708984375,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_down,growth_up_inflation_up,growth_down_inflation_down,growth_up_inflation_down,0.001220703125,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_down,growth_up_inflation_up,growth_down_inflation_down,growth_down_inflation_down,0.001220703125,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_down,growth_down_inflation_up,growth_up_inflation_up,growth_up_inflation_up,0.0020751953125,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_down,growth_down_inflation_up,growth_up_inflation_up,growth_down_inflation_up,0.00213623046875,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_down,growth_down_inflation_up,growth_up_inflation_up,growth_up_inflation_down,0.0013427734375,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_down,growth_down_inflation_up,growth_up_inflation_up,growth_down_inflation_down,0.000732421875,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_down,growth_down_inflation_up,growth_down_inflation_up,growth_up_inflation_up,0.00274658203125,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_down,growth_down_inflation_up,growth_down_inflation_up,growth_down_inflation_up,0.00384521484375,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_down,growth_down_inflation_up,growth_down_inflation_up,growth_up_inflation_down,0.00189208984375,16384,0.001393725632879178
m02:003573,evidence_filter,2026-07-20,latest,growth_up_inflation_down,growth_down_inflation_up,growth_down_inflation_up,growth_down_inflation_down,0.00128173828125,16384,0.001393725632879178
