reference_month,growth_score,inflation_score,growth_score_available_at,inflation_score_available_at,score_available_at,data_status
2017-10-01,0.6062352658400556,0.05305395606899116,2017-11-30,2017-11-30,2017-11-30,score_available
2017-11-01,0.32570502467133944,0.007497421813907383,2017-12-22,2017-12-22,2017-12-22,score_available
2017-12-01,0.42579812794794136,0.49812377558260307,2018-01-29,2018-01-29,2018-01-29,score_available
2018-01-01,-0.22202900478924262,0.6281229652380124,2018-03-01,2018-03-01,2018-03-01,score_available
2018-02-01,0.5005198671155343,0.2508208929737748,2018-03-29,2018-03-29,2018-03-29,score_available
2018-03-01,0.2965951023340065,0.1319748238549388,2018-04-30,2018-04-30,2018-04-30,score_available
2018-04-01,0.7048876190177007,0.09532911407229269,2018-05-31,2018-05-31,2018-05-31,score_available
2018-05-01,0.01909980286606494,0.40911260771265834,2018-06-29,2018-06-29,2018-06-29,score_available
2018-06-01,0.10270694952182241,-0.04933584955706474,2018-07-31,2018-07-31,2018-07-31,score_available
2018-07-01,0.19953790321463533,0.2919692600221122,2018-08-30,2018-08-30,2018-08-30,score_available
2018-08-01,0.22894543807240944,-0.2895832440704905,2018-09-28,2018-09-28,2018-09-28,score_available
2018-09-01,0.3960747981534753,0.1564604496284416,2018-10-29,2018-10-29,2018-10-29,score_available
2018-10-01,0.3022168518911169,0.0965052470025499,2018-11-29,2018-11-29,2018-11-29,score_available
2018-11-01,0.32966300346288646,0.5278080862638044,2018-12-21,2018-12-21,2018-12-21,score_available
2018-12-01,-0.5481786083856552,0.5556801197025594,2019-03-01,2019-03-01,2019-03-01,score_available
2019-01-01,-0.30490422595923256,0.2876631521202786,2019-03-29,2019-03-29,2019-03-29,score_available
2019-02-01,0.01957430909181862,-0.06822117584733187,2019-04-29,2019-04-29,2019-04-29,score_available
2019-03-01,0.3112170434578629,-0.18267453049194582,2019-04-29,2019-04-29,2019-04-29,score_available
2019-04-01,0.010322561143437048,0.36230598093259314,2019-05-31,2019-05-31,2019-05-31,score_available
2019-05-01,0.07625284536898833,0.12794079967308247,2019-06-28,2019-06-28,2019-06-28,score_available
2019-06-01,-0.13239777830375038,0.4332827180252437,2019-07-30,2019-07-30,2019-07-30,score_available
2019-07-01,0.0519070977949924,0.3324801108377178,2019-08-30,2019-08-30,2019-08-30,score_available
2019-08-01,0.16097874972920964,0.7195039344418219,2019-09-27,2019-09-27,2019-09-27,score_available
2019-09-01,0.055892240871261656,-0.4804868515813836,2019-10-31,2019-10-31,2019-10-31,score_available
2019-10-01,-0.6588702425828481,-0.2961709744317636,2019-11-27,2019-11-27,2019-11-27,score_available
2019-11-01,0.789246612887962,0.33995731211180913,2019-12-20,2019-12-20,2019-12-20,score_available
2019-12-01,-0.273311139457705,-0.22031402800229946,2020-01-31,2020-01-31,2020-01-31,score_available
2020-01-01,-0.29973315945204954,-0.039917603959266135,2020-02-28,2020-02-28,2020-02-28,score_available
2020-02-01,0.43062649250079066,0.28284021544507465,2020-03-27,2020-03-27,2020-03-27,score_available
2020-03-01,-10.377242347240024,-0.6906952009920202,2020-04-30,2020-04-30,2020-04-30,score_available
2020-04-01,-51.831661055699726,3.995936839130649,2020-05-29,2020-05-29,2020-05-29,score_available
2020-05-01,3.6543188276981,-1.3623980690427513,2020-06-26,2020-06-26,2020-06-26,score_available
2020-06-01,4.758746319392589,-0.7326652177209303,2020-07-31,2020-07-31,2020-07-31,score_available
2020-07-01,1.8774983936103355,1.16364406460878,2020-08-28,2020-08-28,2020-08-28,score_available
2020-08-01,1.2484067150752722,1.4173886411173866,2020-10-01,2020-10-01,2020-10-01,score_available
2020-09-01,0.3984833473366508,0.019227491611127107,2020-10-30,2020-10-30,2020-10-30,score_available
2020-10-01,0.873901781407983,-0.8682196585441536,2020-11-25,2020-11-25,2020-11-25,score_available
2020-11-01,0.041535245827868106,-0.03753413474455819,2020-12-23,2020-12-23,2020-12-23,score_available
2020-12-01,0.1393058315181052,0.6744226314709725,2021-01-29,2021-01-29,2021-01-29,score_available
2021-01-01,0.8127126556824178,0.02560439543323373,2021-02-26,2021-02-26,2021-02-26,score_available
2021-02-01,-0.8636136731452471,-0.24064197350586042,2021-03-26,2021-03-26,2021-03-26,score_available
