evaluation_sample,filter_variant,comparison_reference,evaluation_checkpoint,metric,better_direction,paired_months,mean_candidate_minus_baseline,bootstrap_confidence_level,bootstrap_lower,bootstrap_upper,bootstrap_probability_candidate_better,centered_two_sided_p_value,block_length_months,replications,random_seed,holm_family_member,holm_adjusted_p_value
excluding_2020_03_through_2020_05,priority_05_import_prices,student_t_7_combined,before_any_defining_release,quadrant_cross_entropy_to_exact_score_map,lower,180,-8.418539281074833e-05,0.95,-0.00033001288986299245,7.123311066083123e-05,0.6942,0.5288942211557689,12,5000,20260722,True,1.0
excluding_2020_03_through_2020_05,priority_06_backlog,student_t_7_combined,before_any_defining_release,quadrant_cross_entropy_to_exact_score_map,lower,180,1.2767502305262764e-05,0.95,-5.09274714980628e-08,3.4887916740569104e-05,0.0916,0.20475904819036192,12,5000,20260722,True,0.6806638672265547
excluding_2020_03_through_2020_05,candidate_all_six,student_t_7_combined,before_any_defining_release,score_center_negative_log_predictive_density,lower,180,0.015132605074331942,0.95,-0.07610929299496741,0.12878897210691886,0.418,0.7818436312737452,12,5000,20260722,False,
excluding_2020_03_through_2020_05,priority_01_surveys,student_t_7_combined,before_any_defining_release,score_center_negative_log_predictive_density,lower,180,0.015421294008983025,0.95,-0.06757695080025362,0.11291328106791518,0.3866,0.7430513897220556,12,5000,20260722,True,1.0
excluding_2020_03_through_2020_05,priority_02_claims,student_t_7_combined,before_any_defining_release,score_center_negative_log_predictive_density,lower,180,-0.021918962507934805,0.95,-0.038514347791237004,-0.006353558179835995,0.998,0.006798640271945611,12,5000,20260722,True,0.04079184163167367
excluding_2020_03_through_2020_05,priority_03_consumer,student_t_7_combined,before_any_defining_release,score_center_negative_log_predictive_density,lower,180,-0.0012316938059040484,0.95,-0.002657980052166332,-7.206288294963176e-05,0.9842,0.057788442311537694,12,5000,20260722,True,0.28894221155768846
excluding_2020_03_through_2020_05,priority_04_housing,student_t_7_combined,before_any_defining_release,score_center_negative_log_predictive_density,lower,180,-5.927797187368602e-06,0.95,-1.4587051267543538e-05,-3.746479931251691e-07,0.9932,0.08538292341531693,12,5000,20260722,True,0.34153169366126773
excluding_2020_03_through_2020_05,priority_05_import_prices,student_t_7_combined,before_any_defining_release,score_center_negative_log_predictive_density,lower,180,-0.0004084194173116861,0.95,-0.0014029376951756533,0.00015781364897925998,0.696,0.5286942611477704,12,5000,20260722,True,1.0
excluding_2020_03_through_2020_05,priority_06_backlog,student_t_7_combined,before_any_defining_release,score_center_negative_log_predictive_density,lower,180,3.083898250381998e-05,0.95,-3.020441066216135e-08,8.909545205128349e-05,0.0608,0.17296540691861628,12,5000,20260722,True,0.5188962207558488
excluding_2020_03_through_2020_05,candidate_all_six,student_t_7_combined,strict_pre_final_score_day,hard_quadrant_correct,higher,180,-0.03888888888888889,0.95,-0.10555555555555556,0.022222222222222223,0.091,0.23595280943811237,12,5000,20260722,False,
